code,name,description
ZIP,ZIP,
IDT1RWAJR,IDT1RWAJR,
EXTRA,EXTRA,
TFRA,TFRA,
IDNCCONR,IDNCCONR,
STNAME,STNAME,
EQCDIVNTINC,EQCDIVNTINC,
INSDATE,INSDATE,
BKPREM,BKPREM,
SZLNCON,SZLNCON,
INTAN,INTAN,
NTRENRSR,NTRENRSR,
OBSDIR,OBSDIR,
OFFOA,OFFOA,
P9LTOT,P9LTOT,
NTALLOTHR,NTALLOTHR,
IGLSEC,IGLSEC,
EEFFR,EEFFR,
IDT1CER,IDT1CER,
NAMEHCR,NAMEHCR,
NTREMULR,NTREMULR,
DEPDOM,DEPDOM,
IBEFXTR,IBEFXTR,
INTINCY,INTINCY,
EQV,EQV,
NETINC,NETINC,
LNLSDEPR,LNLSDEPR,
FDICSUPVDESC,FDICSUPVDESC,
MUTUAL,MUTUAL,
OFFFOR,OFFFOR,
NAASSET,NAASSET,
NTLNLSR,NTLNLSR,
DEPUNINS,DEPUNINS,
DEPNIDOM,DEPNIDOM,
RSSDHCR,RSSDHCR,
LNATRESR,LNATRESR,
ASDROTH,ASDROTH,
SZLNRES,SZLNRES,
CERT,CERT,
STALP,STALP,
NTCOMRER,NTCOMRER,
EINTEXP,EINTEXP,
DEPCSBQ,DEPCSBQ,
COREDEP,COREDEP,
MSA_NAME,MSA_NAME,
CALLFORM,CALLFORM,
RSSDID,RSSDID,
CBLRIND,CBLRIND,
SC,SC,
QBPRCOMLDESC,QBPRCOMLDESC,
ELNANTR,ELNANTR,
ENDEFYMD,ENDEFYMD,
NPERFV,NPERFV,
LNRESNCR,LNRESNCR,
CB,CB,
REGAGNT,REGAGNT,
NUMEMP,NUMEMP,
ASSET,ASSET,
NCREMULR,NCREMULR,
NCRECONR,NCRECONR,
STCNTY,STCNTY,
NALTOT,NALTOT,
IDLNCORR,IDLNCORR,
SPECGRPDESC,SPECGRPDESC,
SZLAUTO,SZLAUTO,
CITY,CITY,
P9ASSET,P9ASSET,
STMULT,STMULT,
P3ASSET,P3ASSET,
DEPALLEX,DEPALLEX,
LIAB,LIAB,
ITAX,ITAX,
TRADE,TRADE,
NIMY,NIMY,
INSAGNT1,INSAGNT1,
DEPINS,DEPINS,
BKCLASS,BKCLASS,
NOIJ,NOIJ,
NOIJY,NOIJY,
IDNCCIR,IDNCCIR,
EFFDATE,EFFDATE,
LSAORE,LSAORE,
ELNATR,ELNATR,
NTRER,NTRER,
INTINC,INTINC,
NETINBM,NETINBM,
EQCSTKRX,EQCSTKRX,
UC,UC,
LSALNLS,LSALNLS,
NTLNLS,NTLNLS,
FLDOFF,FLDOFF,
ERNASTR,ERNASTR,
NCLNLSR,NCLNLSR,
LNLSNET,LNLSNET,
LNNDEPC,LNNDEPC,
LNNDEPD,LNNDEPD,
DEPFOR,DEPFOR,
NCRENRER,NCRENRER,
PARCERT,PARCERT,
ROA,ROA,
P3LTOT,P3LTOT,
RISDATE,RISDATE,
EQCDIV,EQCDIV,
ROEINJR,ROEINJR,
ROE,ROE,
SZLNHEL,SZLNHEL,
OCCDISTDESC,OCCDISTDESC,
EQ,EQ,
NAME,NAME,
HCTMULT,HCTMULT,
SZLNCRCD,SZLNCRCD,
NONIXAY,NONIXAY,
SZLNOTH,SZLNOTH,
FREPO,FREPO,
FDICDBSDESC,FDICDBSDESC,
CHBAL,CHBAL,
LSAOA,LSAOA,
OFFDOM,OFFDOM,
SUBCHAPS,SUBCHAPS,
ASDRRES,ASDRRES,
NCRER,NCRER,
AOAR,AOAR,
ORE,ORE,
ACTIVE,ACTIVE,
NTRECOSR,NTRECOSR,
NCRERESR,NCRERESR,
DEPIDOM,DEPIDOM,
REPDTE,REPDTE,
IDNTCIR,IDNTCIR,
INTEXPY,INTEXPY,
RBC1AAJ,RBC1AAJ,
NTRERESR,NTRERESR,
ASTEMPM,ASTEMPM,
AOA,AOA,
ROAPTX,ROAPTX,
PTAXNETINC,PTAXNETINC,
DEPDASTR,DEPDASTR,
NCCOMRER,NCCOMRER,
DEPBEFEX,DEPBEFEX,
FEDDESC,FEDDESC,
NONIIAY,NONIIAY,
IDNTCONR,IDNTCONR,
ELNATRY,ELNATRY,
NONIX,NONIX,
LNLSNTV,LNLSNTV,
DEP,DEP,
CBSA,CBSA,
IDNCOTHR,IDNCOTHR,
NIM,NIM,
RBCRWAJ,RBCRWAJ,
SZLNCI,SZLNCI,
LSASCDBT,LSASCDBT,
IDNCGTPR,IDNCGTPR,
NAMEFULL,NAMEFULL,
IDERNCVR,IDERNCVR,
NFAA,NFAA,
ESTYMD,ESTYMD,
NONII,NONII,
TRUST,TRUST,
EQTOT,EQTOT,
ID,ID,
LNRENROT,LNRENROT,
LNATRES,LNATRES,
RBCT1CER,RBCT1CER,
LS,LS,
RWAJ,RWAJ,
NTCI,NTCI,
LNCRCD,LNCRCD,
LNAG,LNAG,
EQPP,EQPP,
NARELOC,NARELOC,
P3RECONS,P3RECONS,
RBCT2,RBCT2,
P3RELOC,P3RELOC,
P3LNLS,P3LNLS,
P9RELOC,P9RELOC,
NARENROT,NARENROT,
NTRELOC,NTRELOC,
NACON,NACON,
LNLS,LNLS,
P9CI,P9CI,
NTRECONS,NTRECONS,
LNAUTO,LNAUTO,
P3CI,P3CI,
NTREMULT,NTREMULT,
NTCON,NTCON,
NARERES,NARERES,
RBCT1J,RBCT1J,
LNREMULT,LNREMULT,
P9LNLS,P9LNLS,
NAREMULT,NAREMULT,
FREPP,FREPP,
LNREAG,LNREAG,
EQCS,EQCS,
LNRERES,LNRERES,
LNRENROW,LNRENROW,
NARECONS,NARECONS,
LNRECONS,LNRECONS,
NTRERES,NTRERES,
LNCI,LNCI,
EQCCOMPI,EQCCOMPI,
EDEPDOM,EDEPDOM,
OTHBOR,OTHBOR,
ILNDOM,ILNDOM,
NCLNLS,NCLNLS,
EDEPFOR,EDEPFOR,
LNOTHER,LNOTHER,
P9CON,P9CON,
ILNFOR,ILNFOR,
LNRELOC,LNRELOC,
RB2LNRES,RB2LNRES,
P3CON,P3CON,
P3RENROT,P3RENROT,
EQUP,EQUP,
LNCON,LNCON,
P9REMULT,P9REMULT,
EQSUR,EQSUR,
P9RECONS,P9RECONS,
P3RERES,P3RERES,
P3LREMUL,P3LREMUL,
P9RENROT,P9RENROT,
NACI,NACI,
P9RERES,P9RERES,
