CERT,REPDTE,RCON1545,RCONJ454,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2023-12-31,5548798.0,1545574.0,3572554.0,12238607.0,22943396.0,24930534.0,77760.0,458984.0,64221835.0,149528.0,180803.0,80953.0,299512.0,1390.0,4568.0,0.0,716754.0,106.0,0.0,0.0,5620045.0,1988304.0,SUCCESS
3511,2023-12-31,3385000.0,139681000.0,23817000.0,119320000.0,248639000.0,400060000.0,52230000.0,57049000.0,901115000.0,505000.0,3334000.0,654000.0,4091000.0,4223000.0,1800000.0,0.0,14607000.0,11000.0,40000.0,32000.0,22487000.0,60780000.0,SUCCESS
7213,2023-12-31,502000.0,61400000.0,6571000.0,27530000.0,134663000.0,299544000.0,165166000.0,10067000.0,643541000.0,46000.0,462000.0,265000.0,2496000.0,12649000.0,435000.0,0.0,16353000.0,76000.0,8000.0,0.0,28206000.0,79501000.0,SUCCESS
3510,2023-12-31,9977000.0,72039000.0,10093000.0,62785000.0,241759000.0,523181000.0,102200000.0,100602000.0,1040620000.0,64000.0,1278000.0,386000.0,3416000.0,7346000.0,788000.0,0.0,13278000.0,0.0,35000.0,0.0,23512000.0,69546000.0,SUCCESS
628,2023-12-31,19181000.0,104061000.0,9754000.0,129118000.0,326452000.0,548687000.0,211115000.0,63951000.0,1289077000.0,284000.0,2383000.0,844000.0,5683000.0,12449000.0,692000.0,0.0,22335000.0,52000.0,42000.0,0.0,48774000.0,148683000.0,SUCCESS
32992,2023-12-31,1555000.0,45140000.0,292000.0,8256000.0,0.0,59505000.0,0.0,0.0,68053000.0,4000.0,452000.0,0.0,198000.0,0.0,0.0,0.0,654000.0,0.0,44000.0,0.0,0.0,0.0,SUCCESS
33124,2023-12-31,941000.0,72970000.0,2441000.0,7783000.0,6567000.0,110807000.0,17425000.0,7757000.0,152780000.0,60000.0,310000.0,38000.0,1171000.0,2446000.0,24000.0,0.0,4049000.0,0.0,0.0,0.0,13599000.0,19676000.0,SUCCESS
34221,2023-12-31,3471000.0,4558000.0,0.0,6835000.0,60375000.0,64264000.0,0.0,2132000.0,133606000.0,0.0,152000.0,100000.0,32000.0,0.0,4000.0,0.0,288000.0,0.0,0.0,0.0,2000.0,0.0,SUCCESS
57450,2023-12-31,0.0,291000.0,0.0,0.0,26631000.0,4133000.0,0.0,9346000.0,40110000.0,0.0,0.0,34000.0,4000.0,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2023-12-31,1445752.0,6052179.0,768.0,2260013.0,29027594.0,16807328.0,286651.0,34794979.0,83177333.0,3.0,25789.0,73313.0,8257.0,1045.0,4721.0,0.0,113128.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
