CERT,REPDTE,RCFD1545,RCON1545,RCFDJ454,RCONJ454,RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCONJ473,RCONJ474,FFIEC_PATCH_STATUS
17281,2024-12-31,1149633.0,1149633.0,6684160.0,6684160.0,3280308.0,11871996.0,22854420.0,24592113.0,77643.0,267636.0,62944116.0,125521.0,170979.0,90528.0,285249.0,872.0,4657.0,0.0,677806.0,216.0,0.0,0.0,453923.0,2659115.0,SUCCESS
3511,2024-12-31,5783000.0,5783000.0,158104000.0,144496000.0,20649000.0,108455000.0,239730000.0,400227000.0,56542000.0,51263000.0,876866000.0,483000.0,3036000.0,554000.0,3972000.0,4869000.0,1280000.0,0.0,14194000.0,10000.0,57000.0,17000.0,26800000.0,32016000.0,SUCCESS
7213,2024-12-31,5939000.0,418000.0,103036000.0,62183000.0,6641000.0,27077000.0,138184000.0,300412000.0,170749000.0,10080000.0,653143000.0,71000.0,557000.0,179000.0,2104000.0,13569000.0,518000.0,0.0,16998000.0,85000.0,37000.0,0.0,22442000.0,50991000.0,SUCCESS
3510,2024-12-31,79513000.0,78585000.0,157982000.0,122729000.0,9319000.0,56411000.0,242907000.0,567260000.0,103566000.0,104297000.0,1083760000.0,79000.0,1140000.0,291000.0,3432000.0,7515000.0,762000.0,0.0,13219000.0,0.0,35000.0,0.0,32223000.0,70672000.0,SUCCESS
628,2024-12-31,54615000.0,24378000.0,133323000.0,113806000.0,11647000.0,127704000.0,309550000.0,571016000.0,232854000.0,59011000.0,1311782000.0,258000.0,2441000.0,685000.0,5674000.0,14599000.0,660000.0,0.0,24317000.0,32000.0,71000.0,0.0,54703000.0,165309000.0,SUCCESS
32992,2024-12-31,15088000.0,15088000.0,53675000.0,53675000.0,407000.0,7792000.0,0.0,69030000.0,0.0,0.0,77229000.0,6000.0,352000.0,0.0,188000.0,0.0,0.0,0.0,546000.0,0.0,52000.0,0.0,0.0,0.0,SUCCESS
33124,2024-12-31,2711000.0,979000.0,91195000.0,90896000.0,3067000.0,7054000.0,7553000.0,127827000.0,19615000.0,8000000.0,173116000.0,73000.0,198000.0,30000.0,1033000.0,2567000.0,2000.0,0.0,3903000.0,0.0,0.0,0.0,19552000.0,23622000.0,SUCCESS
34221,2024-12-31,64862000.0,64862000.0,5223000.0,5223000.0,0.0,7055000.0,66738000.0,72469000.0,0.0,516000.0,146778000.0,0.0,155000.0,97000.0,63000.0,0.0,12000.0,0.0,327000.0,0.0,0.0,0.0,111000.0,46000.0,SUCCESS
57450,2024-12-31,15715000.0,15715000.0,391000.0,391000.0,0.0,0.0,27814000.0,16343000.0,0.0,27000.0,44184000.0,0.0,0.0,15000.0,6000.0,0.0,0.0,0.0,21000.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
57565,2024-12-31,44931865.0,44931865.0,5909413.0,5909413.0,3804.0,2202102.0,30035006.0,51351211.0,311021.0,859031.0,84762175.0,9.0,35973.0,72177.0,7536.0,1035.0,1703.0,0.0,118433.0,0.0,0.0,0.0,0.0,0.0,SUCCESS
